,TP53,TNFSF10,IL1R1,PRKAR2B,FAS,ENDOG,CSF2RB,AIFM1,BIRC3,PIK3R1
X49,2.07529922411638,1.79399530122519,2.4102010632009,2.21074169694459,2.17797493045152,2.0557390949634,1.67275443723819,2.21681803243062,1.6646928491437,2.02780345101477
X152,2.14642472843588,1.71745788858983,2.33263115514597,2.20985558040177,2.15314845127586,2.03287259627647,1.61629236689459,2.19626300406167,1.6194337868046,1.87699482558184
X374,1.84349608200215,2.14064717114922,2.33649847793305,2.13560918709302,2.26693097198274,1.99717344299285,1.94493395845056,2.35045483370374,2.06522724553371,2.16332302566054
X379,1.66664965818521,2.30801631715791,2.49913330267654,1.93441576962958,2.02884537266497,2.08804319119382,1.73468811042224,2.35276476753713,2.14729292858775,2.0145989743249
X381,2.11798534308774,2.42369503280694,2.26611922177683,1.97600278936248,2.13583959707611,2.05375571726786,1.75353306158917,2.36309676725568,2.18234554257438,1.95772578299574
X386,1.84368914441572,2.29883406668289,2.27893154039382,1.98281086540368,2.22062312805734,2.05950410529732,1.96393528718906,2.42402366126443,2.09593231829879,1.98737696420548
X387,2.0887815378018,2.07090142850214,2.40434623868472,2.02837979942939,1.95686845829048,1.95007859187036,1.68769625985257,2.13717492907969,1.81916384880697,1.93395034341652
X424,2.18904454524578,2.37440144138264,2.33207398987965,1.82593220635186,2.17164348683288,2.02288970853849,1.93336319274345,2.42211149698924,2.18058241716491,2.08309486017774
X427,1.70973201547064,2.20777758682816,2.21581623204957,2.0084569559033,2.01314280560585,2.09079064626798,1.89099677624898,2.35849177930542,1.93600410293585,2.10264768416708
X428,2.1887622055893,2.10641447918126,2.40709374591982,2.24599675192585,2.28503702227412,2.08803079817654,1.66071640671213,2.271725805488,2.08741219148467,2.11690951776346
X434,1.7383481439221,1.55772979517733,2.42225434861854,2.10676483732873,1.94990928469909,2.04730696247119,1.5933146280466,2.29398925440193,1.63378705141002,1.90152676077028
X450,2.14576986641295,2.31118599893133,2.46627753365817,2.20880394362666,2.34286486053582,2.02812982606998,2.28136962811271,2.26019207339321,2.30193187969669,2.14432531571077
X457,2.22593728279598,2.40285386771226,2.30545796235022,2.02612778648269,2.18476955680953,2.15177848219673,2.17496419890923,2.28207417491916,2.11161827337506,1.98949221678101
X459,1.77383477750654,2.06932807252034,2.39614556112712,2.26456853455539,2.24216926187932,2.04499760155882,1.70916197308206,2.29514548763015,1.84302909666888,2.04235993899752
X469,2.30429662748292,2.20908287783623,1.97858199256879,2.19973919082174,2.19312730608365,2.05581973057686,1.59724791539998,2.08250559267748,1.90800502727493,1.99669967371506
X484,1.80141932885564,2.2929488128218,2.48768694784157,2.32031498542341,2.11726584761792,2.03437879704292,1.71621662197941,2.24430428479926,2.24711572250517,2.22209386808502
X488,2.20829089690344,2.30213299081125,2.33621520783408,1.82182138113466,2.0560705553566,2.04481645245191,1.75747508566091,2.41348583322638,2.14477623016705,2.20588254429389
X493,2.24705018408589,2.28015746339199,2.3168557806214,1.99231924944843,2.18354814651998,2.11558902768911,2.23682342411617,2.2902118592809,2.25745278071997,2.08821915546609
X496,2.09661326018816,2.18943207225712,2.35990449387489,1.86537386721313,1.80337507940028,2.05829578779283,1.60501012423194,2.21752381332803,1.97372540724159,2.13902208922861
X502,2.13335190854384,2.36220026431025,2.36836908820668,2.13066327100667,2.01980166921356,2.12312583590912,1.80896231478964,2.27922434308069,2.01383978884505,2.09812467002182
X510,1.76334970658759,2.20315473690868,2.38265056963914,2.29894949219918,2.23026920640302,1.94297298265927,1.76446877621436,2.19394587492761,1.96283468904893,2.07577859126055
X523,2.18939287837449,2.27137715166985,2.34223456037294,2.21451752206428,2.28346139517308,2.08786843546409,2.00155837551708,2.28930935911202,2.23540628937627,2.11645790395904
X525,2.24222768547269,2.29151100095773,2.22794451749388,1.90030141875406,1.99245152809837,2.17562406815187,1.75234793787014,2.37291307282708,2.10695577949511,2.03284247530147
X541,2.23778413742357,2.20787213481738,2.31758995488821,2.03912592934315,2.15473684439186,2.1109244624912,2.09456042322614,2.26378293223549,2.09877469604575,2.09151708790971
X552,2.16475648053164,2.43134763269344,2.38601590072282,2.0030368957272,2.19933900702007,2.1464282354707,2.14306519132508,2.3128007351837,2.2161117530547,2.01704871688851
X558,1.66648720920989,1.63536293602567,2.45570438397979,2.24637446515713,1.9087258752369,2.11193777302197,1.60948791118414,2.18837329786032,1.63699276636423,2.03847109864164
X561,1.8425412995068,2.33575194150811,2.43324749900948,1.97105422766381,2.18051462943988,2.19696454353036,2.07288635330228,2.37410264146698,2.19106229608857,2.0140012807638
X574,1.97114059608089,2.30325886595806,2.48995969495794,2.20248295005198,2.1596173174225,2.18565344480447,2.02208384327816,2.29746098715852,2.1469167621168,2.04641331544101
X575,2.13179914449019,2.25337699150098,2.36570166614259,1.99980156539912,2.22638955878271,2.07912399126604,2.10934615790724,2.32867282950728,2.18580630291423,2.09611796395586
